date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:35	2258/2258	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f13e83d7bc394de596f7fa7cd1eb004d%22	https://compound.finance/images/ctoken_usdt_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/ctoken_usdt_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:35	1840/1840	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22fdb936c2f9c101d7d26baad16cfb5660%22	https://compound.finance/images/ctoken_sai_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/ctoken_sai_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:35	5172/5172	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c8cb388b1164b3fc6e218a85b0d5f3%22	https://compound.finance/images/ctoken_usdc_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/ctoken_usdc_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:36	2975/2975	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22495b941546b820d331993dcd98d7f3b1%22	https://compound.finance/images/ctoken_wbtc_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/ctoken_wbtc_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:36	2488/2488	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228fd498f2c586eb5e3a82a26b3c7cfd0a%22	https://compound.finance/images/ctoken_zrx_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/ctoken_zrx_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:37	170/170	---M--	200	added ('OK')	image/png	etag:%22a095079e9014f426b28c1fa13c52a005%22	https://compound.finance/images/icon_arrow_forward.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icon_arrow_forward.png	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:37	173/173	---M--	200	added ('OK')	image/png	etag:%22059cca9c5e2c8a587e31f972b8b9676d%22	https://compound.finance/images/icon_arrow_back.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icon_arrow_back.png	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:38	219/219	---M--	200	added ('OK')	image/png	etag:%228b99b3f9d3aeb7ed1b314267ecfd40b5%22	https://compound.finance/images/icon_fail.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icon_fail.png	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:38	299/299	---M--	200	added ('OK')	image/png	etag:%22bb592e14052366a707e9af3fc7bbd69d%22	https://compound.finance/images/icon_lock_open.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icon_lock_open.png	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:38	188/188	---M--	200	added ('OK')	image/png	etag:%2234a887eed15a783b6d1313b8bfe09ae5%22	https://compound.finance/images/icon_success.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icon_success.png	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:39	117444/117444	---MCZ	200	added ('OK')	font/otf	etag:W/%22ad410bd714941358c0076fa3a492ce7c%22	https://compound.finance/compound-components/fonts/NeueHaasGrotDispRound-55Roman.otf	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/fonts/NeueHaasGrotDispRound-55Roman.otf	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:39	121252/121252	---MCZ	200	added ('OK')	font/otf	etag:W/%2257c995a2be9cd4d1ecf76563f42258b7%22	https://compound.finance/compound-components/fonts/NeueHaasGrotDispRound-65Medium.otf	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/fonts/NeueHaasGrotDispRound-65Medium.otf	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:39	122952/122952	---MCZ	200	added ('OK')	font/otf	etag:W/%22c921fd69f60ca8bd00dbb9bc224fb03f%22	https://compound.finance/compound-components/fonts/NeueHaasGrotTextRound-55Roman.otf	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/fonts/NeueHaasGrotTextRound-55Roman.otf	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
